Label, CenterX(mils) from left corner, CenterY(mils) from left corner, Radius(mils), Suitable for Bellatrix team?
1, 2657.28, 2708.48, 16.191885986328124, No
2, 2554.88, 2708.48, 16.191885986328124, No
3, 2452.48, 2708.48, 16.191885986328124, No
4, 2355.2000000000003, 2703.36, 20.48102294921875, No
5, 2257.92, 2708.48, 16.191885986328124, No
6, 2155.52, 2708.48, 16.191885986328124, No
7, 2053.12, 2708.48, 16.191885986328124, No
8, 1950.72, 2708.48, 16.191885986328124, No
9, 1853.44, 2708.48, 21.1113232421875, No
10, 3742.7200000000003, 2693.12, 15.361024169921876, No
11, 3650.56, 2693.12, 15.361024169921876, No
12, 3548.16, 2698.2400000000002, 16.191885986328124, No
13, 3445.76, 2698.2400000000002, 16.191885986328124, No
14, 3353.6, 2698.2400000000002, 16.191885986328124, No
15, 3251.2000000000003, 2698.2400000000002, 16.191885986328124, No
16, 3148.8, 2698.2400000000002, 16.191885986328124, No
17, 3056.64, 2698.2400000000002, 16.191885986328124, No
18, 2954.2400000000002, 2698.2400000000002, 16.191885986328124, No
19, 2851.84, 2698.2400000000002, 16.191885986328124, No
20, 2754.56, 2703.36, 20.48102294921875, No
21, 4326.4, 2682.88, 15.361024169921876, No
22, 4234.24, 2688.0, 16.191885986328124, No
23, 4131.84, 2688.0, 16.191885986328124, No
24, 4039.6800000000003, 2688.0, 16.191885986328124, No
25, 3942.4, 2688.0, 15.361024169921876, No
26, 3845.12, 2688.0, 16.191885986328124, No
27, 2954.2400000000002, 2606.08, 16.191885986328124, No
28, 2851.84, 2606.08, 16.191885986328124, No
29, 2754.56, 2600.96, 20.48102294921875, No
30, 2657.28, 2606.08, 16.191885986328124, No
31, 2554.88, 2606.08, 16.191885986328124, No
32, 2452.48, 2606.08, 16.191885986328124, No
33, 2350.08, 2606.08, 16.191885986328124, No
34, 2257.92, 2606.08, 16.191885986328124, No
35, 2155.52, 2606.08, 16.191885986328124, No
36, 2053.12, 2606.08, 16.191885986328124, No
37, 1950.72, 2606.08, 16.191885986328124, No
38, 1853.44, 2611.2000000000003, 20.48102294921875, No
39, 3845.12, 2590.7200000000003, 15.361024169921876, No
40, 3742.7200000000003, 2595.84, 16.191885986328124, No
41, 3650.56, 2595.84, 16.191885986328124, No
42, 3548.16, 2595.84, 16.191885986328124, No
43, 3450.88, 2595.84, 15.361024169921876, No
44, 3353.6, 2595.84, 16.191885986328124, No
45, 3251.2000000000003, 2595.84, 16.191885986328124, No
46, 3148.8, 2595.84, 16.191885986328124, No
47, 3051.52, 2600.96, 20.48102294921875, No
48, 4326.4, 2585.6, 16.191885986328124, No
49, 4234.24, 2585.6, 16.191885986328124, No
50, 4136.96, 2585.6, 15.361024169921876, No
51, 4039.6800000000003, 2585.6, 16.191885986328124, No
52, 3937.28, 2585.6, 16.191885986328124, No
53, 3251.2000000000003, 2498.56, 15.361024169921876, No
54, 3148.8, 2503.68, 16.191885986328124, No
55, 3056.64, 2503.68, 16.191885986328124, No
56, 2954.2400000000002, 2503.68, 16.191885986328124, No
57, 2851.84, 2503.68, 16.191885986328124, No
58, 2754.56, 2503.68, 15.361024169921876, No
59, 2657.28, 2503.68, 16.191885986328124, No
60, 2554.88, 2503.68, 16.191885986328124, No
61, 2452.48, 2503.68, 16.191885986328124, No
62, 2355.2000000000003, 2508.8, 20.48102294921875, No
63, 2257.92, 2503.68, 16.191885986328124, No
64, 2155.52, 2503.68, 16.191885986328124, No
65, 2053.12, 2503.68, 16.191885986328124, No
66, 1950.72, 2503.68, 16.191885986328124, No
67, 1853.44, 2508.8, 20.48102294921875, No
68, 4136.96, 2488.32, 10.241024169921875, No
69, 4039.6800000000003, 2488.32, 15.361024169921876, No
70, 3942.4, 2493.44, 15.361024169921876, No
71, 3845.12, 2493.44, 16.191885986328124, No
72, 3747.84, 2493.44, 15.361024169921876, No
73, 3650.56, 2493.44, 16.191885986328124, No
74, 3548.16, 2493.44, 16.191885986328124, No
75, 3450.88, 2493.44, 15.361024169921876, No
76, 3353.6, 2493.44, 16.191885986328124, No
77, 4331.52, 2483.2000000000003, 15.361024169921876, No
78, 4234.24, 2483.2000000000003, 16.191885986328124, No
79, 2053.12, 2411.52, 16.191885986328124, No
80, 1950.72, 2411.52, 16.191885986328124, No
81, 1853.44, 2406.4, 20.48102294921875, No
82, 3548.16, 2396.16, 15.361024169921876, No
83, 3450.88, 2401.28, 15.361024169921876, No
84, 3353.6, 2401.28, 16.191885986328124, No
85, 3251.2000000000003, 2401.28, 16.191885986328124, No
86, 3148.8, 2401.28, 16.191885986328124, No
87, 3056.64, 2401.28, 16.191885986328124, No
88, 2954.2400000000002, 2401.28, 16.191885986328124, No
89, 2851.84, 2401.28, 16.191885986328124, No
90, 2754.56, 2401.28, 15.361024169921876, No
91, 2657.28, 2401.28, 16.191885986328124, No
92, 2554.88, 2401.28, 16.191885986328124, No
93, 2452.48, 2401.28, 16.191885986328124, No
94, 2355.2000000000003, 2406.4, 20.48102294921875, No
95, 2252.8, 2406.4, 20.48102294921875, No
96, 2150.4, 2406.4, 20.48102294921875, No
97, 4331.52, 2385.92, 10.241024169921875, No
98, 4234.24, 2385.92, 15.361024169921876, No
99, 4136.96, 2391.04, 15.361024169921876, No
100, 4039.6800000000003, 2391.04, 16.191885986328124, No
101, 3942.4, 2391.04, 15.361024169921876, No
102, 3845.12, 2391.04, 16.191885986328124, No
103, 3747.84, 2391.04, 15.361024169921876, No
104, 3650.56, 2391.04, 16.191885986328124, No
105, 2554.88, 2304.0, 15.361024169921876, No
106, 2452.48, 2309.12, 16.191885986328124, No
107, 2350.08, 2309.12, 16.191885986328124, No
108, 2252.8, 2304.0, 20.48102294921875, No
109, 2155.52, 2309.12, 16.191885986328124, No
110, 2053.12, 2309.12, 16.191885986328124, No
111, 1950.72, 2309.12, 16.191885986328124, No
112, 1848.32, 2309.12, 16.191885986328124, No
113, 3650.56, 2298.88, 16.191885986328124, No
114, 3548.16, 2298.88, 16.191885986328124, No
115, 3450.88, 2298.88, 15.361024169921876, No
116, 3353.6, 2298.88, 16.191885986328124, No
117, 3251.2000000000003, 2298.88, 16.191885986328124, No
118, 3153.92, 2298.88, 15.361024169921876, No
119, 3056.64, 2298.88, 16.191885986328124, No
120, 2954.2400000000002, 2298.88, 16.191885986328124, No
121, 2851.84, 2298.88, 16.191885986328124, No
122, 2749.44, 2298.88, 16.191885986328124, No
123, 2657.28, 2298.88, 16.191885986328124, No
124, 4331.52, 2288.64, 15.361024169921876, No
125, 4234.24, 2288.64, 16.191885986328124, No
126, 4136.96, 2288.64, 15.361024169921876, No
127, 4039.6800000000003, 2288.64, 16.191885986328124, No
128, 3942.4, 2288.64, 15.361024169921876, No
129, 3845.12, 2288.64, 16.191885986328124, No
130, 3742.7200000000003, 2288.64, 16.191885986328124, No
131, 2954.2400000000002, 2201.6, 15.361024169921876, No
132, 2851.84, 2206.7200000000003, 16.191885986328124, No
133, 2749.44, 2206.7200000000003, 16.191885986328124, No
